비트코인 고가변동률,이더리움 고가변동률,비트코인캐시 고가변동률,이오스 고가변동률,트론 고가변동률,라이트코인 고가변동률
0.0991696,0.0112721,3.413122558,16.96224482,-0.720848584,2.573529412
0.9005639,0.2514337,-0.008981095,0.209312428,-2.21686571,0.057411384
0.9011304,0.8346627,0.650847458,1.20303757,-3.828457026,2.290325387
-0.6105281,-0.7267894,-3.079551428,-2.089692416,8.85490346,-2.093315445
-2.2980291,-4.1966947,-2.294127718,-2.540045767,-2.213332336,-3.131381892
0.6084239,2.2607636,1.142857143,0.83064144,0.688902274,3.774029199
-0.0985412,0.0776354,0.382409178,-0.069172239,0.412020412,1.868853174
-0.8057296,-1.895928,-1.938892913,-1.259770813,-2.491614758,-2.680390492
1.3649159,1.5552486,1.31243794,1.369336103,-1.56017561,1.250590915
0.0546635,1.7225391,3.364719532,-0.176624174,-3.558681503,-0.004297379
0.3467832,-0.5394075,2.831314244,1.754248877,4.295463669,-0.034367214
-0.2947774,1.4747589,-0.11916766,0.227121432,4.039943805,3.04103404
2.3957325,2.4642567,-0.849806862,-0.996355742,0.96994326,0.11522269
-0.3339419,-0.5979375,-0.036342161,-0.15096969,2.450903378,0.765847232
-3.7907747,-7.7662919,-3.797744952,-3.859322665,-7.310324742,-6.020228303
-0.8518625,-2.607748,-1.962296487,-0.577221934,-0.905516072,-1.794877079
-0.8544256,-0.4134474,-1.709761644,-1.177416996,-5.256861606,-0.943068852
1.3363917,-1.3309197,-0.565302961,-0.527406976,-1.881413911,-0.158966311
-0.086962,-0.4442075,-0.175563265,-0.872543717,4.978172088,-0.958782447
-0.4867803,5.6532933,1.661567228,0.905915739,-3.331858558,1.657980055
1.4773413,-2.3030367,-2.478242851,-1.133052768,-3.462890561,-3.074781225
1.7451114,-0.6041824,5.490950424,0.626176343,-3.128580522,1.334193236
1.5567696,-1.4171652,-2.435487311,-2.215615488,-4.148871263,-2.747941984
0.9812156,0.3581367,1.832949659,-0.063667233,-2.289257184,-0.56325401
0.7500865,3.6617612,0.818882466,0.308674827,-2.138210671,3.874886122
-0.7776495,-0.6659238,-0.812231247,-0.739566825,-2.566507503,-0.068785531
1.3245289,5.1879552,0.885149643,1.035439795,-1.629994129,1.257810099
-0.8730737,0.7422193,-0.92041853,-1.686140069,0.88852533,-1.058029471
0.3220875,-0.4589595,0.195754307,-2.70251872,8.989178554,0.407025256
0.6113546,-0.2122371,-1.406759307,-2.657212908,0.157034209,0
-2.0930607,-9.1418857,-0.541739538,-4.150655785,-11.20194674,-4.106086923
-0.5228844,-1.3664348,-1.969557581,-2.489703651,-17.87029552,-2.144603162
-7.240424,-14.3267581,-10.1922788,2.280429481,-7.292599146,-10.64163823
-4.2251517,-3.0272788,-9.493219129,-9.703712178,25.79546943,-7.231509625
-0.8168755,-1.49107,-0.331989566,-1.43203473,7.191982708,-1.719228914
2.4293805,11.2899182,4.967640993,7.709124032,20.06808453,0.935973742
0.4784607,2.1229544,0.618984579,0.678629291,5.411070845,1.262662405
1.1004768,5.9329766,2.538797373,2.170654007,11.69934122,8.068673953
0.3275847,1.9842068,0.357142857,1.028650764,4.248893302,0.006874742
-0.3566402,0.2925747,-1.896333755,0.705433746,-1.217867506,-1.769313884
0.4049039,0.985711,-0.710110103,-0.587566338,2.35933905,0.287833125
-1.9826802,-4.0120288,-4.349765017,-6.715780168,-6.026417171,-5.185256534
-0.4879658,-0.2803716,-1.156245762,-0.800958812,-0.938510067,-1.103402289
1.0183334,3.3277912,2.363680539,1.093412926,1.65874901,2.243324405
0.2432132,0.0226775,0.177329624,0.183556858,-0.902314633,1.831495777
-1.6872379,-5.2182843,-5.843836962,-6.744892325,-7.928481127,-5.282522585
-0.0303005,-0.0477418,3.119408528,4.772924501,-0.173079003,0.519349711
-1.1004562,-1.8117895,-4.080178751,-4.723845221,-4.127631624,-5.31531263
-2.9738156,-1.614205,-4.755883169,-4.985859432,-10.87318215,-1.822863329
-0.5038532,-2.5198939,-0.22157255,-2.384908361,3.603919941,-0.759324593
4.3749214,1.8965596,3.658925609,-0.533929979,9.873035915,6.700024786
-0.346874,-1.382426,1.861900894,2.267349645,12.18130312,6.533758025
1.0857167,-0.2343715,3.351580079,16.854035,-0.637241487,4.966566192
0.5317297,3.1162131,0.293027956,4.725236262,11.31952302,0.771594162
1.4432936,10.5649906,2.404028559,3.106955381,12.53244527,4.118652078
-2.735547,-2.2404742,-5.127617801,-7.476550405,-5.032324078,-7.793121941
-0.9077244,-0.2305476,-1.103524158,0.145918833,-1.348933242,0.468092271
2.105522,-0.2200385,0.051805083,6.691100156,5.744505361,1.232379361
-0.107577,0.7964312,-0.184215629,-0.168371973,0.267561782,0.232355504
-0.8091213,-0.3441001,-5.106265526,-4.687837546,-2.568963883,-4.039675383
0.0285753,-1.250062,2.145855523,2.143555149,2.731655062,0.597034618
1.0780274,-0.9190996,7.074095193,2.391711316,-0.902335456,1.460843373
